Hi	O	O
Colonial	O	O
,	O	O
Goldman	O	O
Sachs	O	O
will	O	O
be	O	O
holding	O	O
a	O	O
Strats	O	O
information	O	O
session	O	O
TOMORROW	O	O
at	O	O
8	O	O
-	O	O
9	O	O
pm	O	O
in	O	O
Frist	LOCATION	O
302	LOCATION	O
.	O	O
I	O	O
interned	O	O
as	O	O
a	O	O
Strat	O	O
at	O	O
Goldman	O	O
last	O	O
summer	O	O
,	O	O
and	O	O
really	O	O
enjoyed	O	O
my	O	O
experience	O	O
.	O	O
Feel	O	O
free	O	O
to	O	O
check	O	O
them	O	O
out	O	O
!	O	O
image	O	O
cid	O	O
image011	O	O
.	O	O
jpg	O	O
@	O	O
01CFBD31	O	O
.	O	O
AFF8F790	O	O
http	O	O
www	O	O
.	O	O
goldmansachs	O	O
.	O	O
com	O	O
careers	O	O
index	O	O
.	O	O
html	O	O
Princeton	O	O
Strats	O	O
Information	O	O
Session	O	O
DATE	O	O
Tuesday	O	O
,	O	O
November	O	O
4	O	O
,	O	O
2014	O	O
TIME	O	O
8	O	O
00PM	O	O
E2	O	O
80	O	O
93	O	O
9	O	O
00PMLOCATION	O	O
Room	LOCATION	O
302	LOCATION	O
,	O	O
Frist	LOCATION	O
Campus	LOCATION	O
Center	LOCATION	O
This	O	O
informative	O	O
presentation	O	O
will	O	O
provide	O	O
you	O	O
with	O	O
an	O	O
overview	O	O
of	O	O
Goldman	O	O
Sachs	O	O
,	O	O
Strats	O	O
and	O	O
its	O	O
work	O	O
within	O	O
the	O	O
firm	O	O
,	O	O
and	O	O
the	O	O
2015	O	O
Strats	O	O
Summer	O	O
Analyst	O	O
Program	O	O
.	O	O
Princeton	O	O
alumni	O	O
and	O	O
Goldman	O	O
Sachs	O	O
representatives	O	O
will	O	O
be	O	O
in	O	O
attendance	O	O
to	O	O
speak	O	O
with	O	O
attendees	O	O
about	O	O
the	O	O
firm	O	O
E2	O	O
80	O	O
99s	O	O
culture	O	O
and	O	O
opportunities	O	O
,	O	O
as	O	O
well	O	O
as	O	O
